umur,pekerjaan,status_pernikahan,kredit,saldo,cicilan,pinjaman,membership
38,technician,single,no,1685,yes,no,no
55,admin.,single,no,802,yes,yes,no
28,unemployed,single,no,0,yes,no,no
23,blue-collar,married,no,94,yes,no,no
32,technician,single,no,0,yes,no,no
43,services,single,no,0,no,no,no
32,blue-collar,married,no,517,yes,no,no
46,blue-collar,married,no,265,yes,no,no
53,housemaid,divorced,no,947,yes,no,no
34,self-employed,single,no,3,yes,no,no
57,unemployed,married,no,42,no,no,no
37,blue-collar,married,no,37,yes,no,no
59,blue-collar,married,no,57,yes,no,no
33,services,married,no,22,yes,no,no
56,blue-collar,divorced,no,8,yes,no,no
48,unemployed,married,no,293,yes,no,no
43,services,married,no,3,yes,no,no
54,blue-collar,married,no,348,yes,no,no
51,blue-collar,married,no,-19,yes,no,no
26,student,single,no,0,yes,no,no
40,management,married,no,-4,yes,no,no
39,management,married,no,18,yes,no,no
50,technician,married,no,139,no,no,no
41,services,married,no,0,yes,no,no
51,blue-collar,married,no,1883,yes,no,no
60,retired,divorced,no,216,yes,no,no
52,blue-collar,married,no,782,yes,no,no
48,blue-collar,married,no,904,yes,no,no
48,services,married,no,1705,yes,no,no
39,technician,single,no,47,yes,no,no
47,services,single,no,176,yes,no,no
40,blue-collar,married,no,1225,yes,no,no
45,technician,married,no,86,yes,no,no
26,admin.,single,no,82,yes,no,no
52,management,married,no,271,yes,no,no
54,technician,married,no,1378,yes,no,no
54,admin.,married,no,184,no,no,yes
50,blue-collar,married,no,0,no,no,no
35,blue-collar,married,no,0,yes,no,no
44,services,married,no,1357,yes,yes,no
53,entrepreneur,married,no,19,yes,no,no
35,retired,single,no,434,no,no,no
60,admin.,divorced,no,92,yes,no,no
53,admin.,divorced,no,1151,yes,no,no
48,unemployed,married,no,41,yes,no,no
34,technician,married,no,51,yes,no,no
54,services,married,no,214,yes,no,no
51,management,married,no,1161,yes,no,no
31,services,married,no,37,yes,no,no
35,technician,divorced,no,787,yes,no,no
35,services,married,no,59,yes,no,no
38,technician,married,no,253,yes,no,no
36,admin.,married,no,211,yes,no,no
58,retired,married,no,235,yes,no,no
40,services,divorced,no,4384,yes,no,no
54,management,married,no,4080,no,no,no
34,blue-collar,single,no,53,yes,yes,no
31,management,single,no,0,yes,no,no
51,retired,married,no,2127,yes,no,no
33,management,married,no,377,yes,no,no
55,management,married,no,73,yes,no,no
42,admin.,married,no,445,yes,no,no
34,blue-collar,married,no,243,yes,no,no
33,blue-collar,single,no,307,yes,no,no
38,services,married,no,155,yes,no,no
50,technician,divorced,no,173,no,yes,no
43,management,married,no,400,yes,no,no
61,blue-collar,divorced,no,1428,yes,no,no
47,admin.,married,no,219,yes,no,no
48,self-employed,married,no,7,yes,no,no
44,blue-collar,married,no,575,yes,no,no
35,student,single,no,298,yes,no,no
35,services,married,no,0,yes,no,no
50,services,married,no,5699,yes,no,no
41,management,married,no,176,yes,yes,no
41,management,married,no,517,yes,no,no
39,services,single,no,257,yes,no,no
42,retired,married,no,56,yes,no,no
38,blue-collar,married,no,-390,yes,no,no
53,retired,married,no,330,yes,no,no
59,housemaid,divorced,no,195,no,no,no
36,services,married,no,301,yes,no,no
54,blue-collar,married,no,-41,yes,no,no
40,technician,married,no,483,yes,no,no
47,unknown,married,no,28,no,no,no
53,unemployed,married,no,13,no,no,no
46,housemaid,married,no,965,no,no,no
39,management,married,no,378,yes,yes,no
40,unemployed,married,no,219,yes,no,no
28,blue-collar,married,no,324,yes,no,no
35,entrepreneur,divorced,no,-69,yes,no,no
55,retired,married,no,0,no,yes,no
43,technician,divorced,no,205,yes,no,no
48,blue-collar,married,no,278,yes,no,no
58,management,married,no,1065,yes,no,no
33,management,single,no,34,yes,no,no
36,blue-collar,married,no,1033,no,no,no
53,services,divorced,no,1467,yes,no,no
47,blue-collar,married,no,-12,yes,no,no
31,services,married,no,388,yes,no,no
57,entrepreneur,married,no,294,yes,no,no
53,blue-collar,married,no,1827,no,no,no
55,blue-collar,married,no,627,yes,no,no
45,blue-collar,married,no,25,yes,no,no
53,admin.,divorced,no,315,yes,no,no
37,blue-collar,married,no,0,yes,no,no
44,admin.,divorced,no,66,yes,no,no
49,blue-collar,divorced,no,-9,yes,yes,no
46,technician,married,no,349,yes,yes,no
43,entrepreneur,married,no,100,yes,no,no
38,admin.,married,no,0,no,no,no
43,technician,married,no,434,yes,no,no
49,management,married,no,3237,yes,no,no
42,management,married,no,275,no,no,no
22,blue-collar,single,no,0,yes,no,no
40,management,married,no,207,yes,no,no
39,blue-collar,married,no,483,yes,no,no
51,services,married,no,2248,yes,no,no
49,admin.,married,no,428,yes,no,no
53,blue-collar,married,no,0,yes,yes,no
34,services,single,no,0,yes,no,no
33,technician,divorced,no,140,yes,no,no
50,management,single,no,297,yes,no,no
39,blue-collar,married,no,279,yes,no,no
59,entrepreneur,divorced,no,901,yes,no,no
30,technician,single,no,2573,yes,no,no
36,services,married,no,143,yes,yes,no
40,blue-collar,married,no,475,yes,no,no
53,blue-collar,married,no,70,yes,no,no
34,management,single,no,318,yes,no,no
37,technician,married,no,275,yes,no,no
42,management,divorced,no,742,yes,no,no
41,entrepreneur,married,no,236,yes,no,no
30,student,single,no,25,yes,no,no
37,management,single,no,600,yes,no,no
39,admin.,divorced,no,-349,yes,no,no
41,blue-collar,married,no,183,yes,yes,no
40,blue-collar,married,no,0,yes,no,no
42,management,single,no,0,yes,yes,yes
40,blue-collar,divorced,no,0,yes,no,no
57,technician,married,no,1078,yes,no,no
56,entrepreneur,divorced,no,155,no,no,no
37,admin.,married,no,190,yes,no,no
59,retired,married,no,319,yes,no,no
39,services,divorced,no,-185,yes,no,no
49,services,married,no,47,no,no,no
38,services,single,no,570,yes,no,no
36,self-employed,married,no,19,no,no,no
50,blue-collar,married,no,61,yes,no,no
41,admin.,married,no,-62,yes,yes,no
54,technician,married,no,258,no,no,no
58,blue-collar,married,no,76,yes,no,no
30,blue-collar,single,no,0,yes,no,no
33,admin.,single,no,352,yes,no,no
47,admin.,married,no,368,yes,no,no
50,technician,single,no,339,yes,no,no
32,blue-collar,married,no,1331,yes,no,no
40,self-employed,married,no,672,yes,no,no
37,management,married,no,58,yes,no,no
54,technician,single,no,447,yes,no,no
24,student,single,no,423,yes,no,no
54,management,married,no,0,no,no,no
34,technician,married,no,19,yes,no,no
56,technician,divorced,no,13,yes,no,no
31,blue-collar,single,no,3,yes,no,no
24,student,single,no,82,yes,no,no
42,blue-collar,divorced,no,28,yes,no,no
57,technician,married,no,792,yes,no,no
42,blue-collar,married,no,408,yes,no,no
51,admin.,married,no,531,yes,no,no
57,retired,married,no,211,yes,no,no
36,services,single,no,62,yes,no,no
53,services,married,no,257,yes,no,no
50,technician,married,no,1234,yes,no,no
54,management,married,no,313,yes,no,no
55,blue-collar,married,no,89,yes,no,no
44,blue-collar,married,no,129,yes,yes,no
43,management,married,no,0,yes,no,no
56,admin.,married,no,353,yes,no,no
54,technician,married,no,851,yes,no,no
55,services,divorced,no,96,yes,yes,no
37,services,divorced,no,398,yes,yes,no
33,admin.,single,no,193,no,no,no
46,admin.,married,no,-358,yes,no,no
36,blue-collar,married,no,539,yes,yes,no
51,technician,single,no,0,yes,no,no
40,retired,single,no,0,no,no,no
42,blue-collar,married,no,490,yes,no,no
51,blue-collar,married,no,0,yes,no,no
49,blue-collar,married,no,403,yes,no,no
48,management,married,no,161,yes,no,no
32,technician,divorced,no,2558,no,no,no
31,admin.,single,no,98,yes,no,no
55,management,single,no,115,no,no,no
40,blue-collar,single,no,436,yes,no,no
47,technician,married,no,831,yes,no,no
57,technician,married,no,206,yes,no,no
41,blue-collar,married,no,290,yes,no,no
48,blue-collar,married,no,1,no,no,no
42,blue-collar,married,no,57,yes,no,no
30,blue-collar,single,no,-457,yes,no,no
58,management,single,no,1387,yes,no,no
45,management,divorced,no,24598,yes,no,no
49,blue-collar,married,no,30,yes,no,no
42,admin.,single,no,1022,yes,no,no
53,technician,married,no,56,yes,yes,no
51,admin.,single,yes,-2,no,no,no
32,services,single,no,121,yes,no,no
41,blue-collar,single,no,842,yes,no,no
43,management,divorced,no,693,yes,no,no
40,blue-collar,divorced,no,-333,yes,no,no
50,blue-collar,married,no,1533,yes,no,no
34,management,married,no,46,yes,no,no
53,services,married,no,18,no,no,no
45,technician,married,no,44,yes,no,no
39,blue-collar,married,no,-100,yes,no,no
44,services,married,no,510,yes,no,no
55,management,married,no,685,yes,no,no
46,management,single,no,187,yes,no,no
45,blue-collar,married,no,66,yes,no,no
34,admin.,married,no,560,yes,no,no
36,blue-collar,married,no,0,yes,no,no
59,unknown,divorced,no,27,no,no,no
31,admin.,single,no,12,yes,no,no
44,blue-collar,single,no,34,yes,no,no
33,entrepreneur,single,no,1068,yes,no,no
40,blue-collar,married,no,211,yes,no,no
46,admin.,single,no,377,yes,no,no
48,management,married,no,263,yes,no,no
42,services,married,no,1263,yes,no,no
27,services,married,no,8,yes,no,no
48,admin.,married,no,126,yes,yes,no
59,admin.,married,no,230,yes,no,no
46,technician,married,no,841,yes,no,no
38,admin.,divorced,no,308,yes,no,no
43,management,divorced,no,1,yes,no,no
38,admin.,divorced,no,86,yes,no,no
23,student,single,no,157,yes,no,no
34,services,married,no,22,yes,no,no
38,admin.,married,no,46,yes,yes,no
37,blue-collar,married,no,1293,no,no,no
25,admin.,single,no,122,yes,no,no
48,blue-collar,married,no,131,yes,no,no
49,blue-collar,single,no,143,yes,no,no
38,admin.,single,no,393,no,no,no
43,blue-collar,married,no,98,yes,no,no
33,management,married,no,0,yes,no,no
55,blue-collar,married,no,224,yes,no,no
38,blue-collar,married,no,757,yes,no,no
49,services,married,no,245,yes,yes,no
40,management,married,no,8486,no,no,no
43,admin.,married,no,350,no,no,no
38,blue-collar,married,no,20,yes,no,no
58,services,married,no,1667,yes,yes,no
57,technician,married,no,345,yes,no,no
32,unemployed,married,no,10,yes,no,no
56,management,married,no,830,yes,yes,yes
58,blue-collar,divorced,no,29,yes,no,no
60,retired,divorced,no,545,yes,no,yes
37,technician,married,no,8730,yes,no,no
46,technician,divorced,no,477,yes,no,no
27,admin.,married,no,4,yes,no,no
43,blue-collar,married,no,1205,yes,no,no
32,technician,single,no,0,yes,yes,no
40,admin.,single,no,263,yes,no,no
38,admin.,married,no,1,no,no,no
34,blue-collar,married,no,283,no,yes,no
47,blue-collar,married,no,206,yes,no,no
42,housemaid,married,no,17,yes,no,no
48,technician,married,no,141,yes,yes,no
29,self-employed,single,no,16,yes,no,no
50,services,married,no,206,yes,no,no
52,technician,married,no,7,no,no,no
50,management,married,no,0,no,no,no
58,retired,married,no,0,no,no,no
46,blue-collar,divorced,no,1927,yes,no,no
38,technician,married,no,284,yes,no,no
46,blue-collar,married,no,1660,yes,no,no
32,services,single,no,406,yes,no,no
51,blue-collar,married,no,230,yes,no,no
39,admin.,single,no,-25,yes,no,no
48,admin.,married,no,182,yes,no,no
36,entrepreneur,married,no,1169,yes,no,no
34,admin.,divorced,no,67,yes,no,no
40,technician,married,no,77,no,no,no
43,unemployed,married,no,0,yes,no,no
52,blue-collar,divorced,no,55,yes,yes,no
33,technician,married,yes,72,yes,no,no
49,management,single,no,163,yes,no,no
32,management,single,no,151,yes,no,no
39,admin.,single,no,113,yes,no,no
40,blue-collar,married,no,0,yes,no,no
38,technician,single,no,9,yes,no,no
43,management,married,no,375,yes,no,no
39,services,married,no,1142,yes,no,no
54,blue-collar,married,no,2102,yes,no,no
38,technician,single,no,4325,yes,no,no
40,blue-collar,married,no,217,yes,no,no
55,admin.,married,no,131,yes,no,no
42,management,married,no,1680,yes,no,no
39,blue-collar,married,no,0,yes,no,no
40,blue-collar,married,no,46,yes,no,no
32,blue-collar,married,no,320,yes,no,no
55,admin.,married,no,183,yes,no,no
45,blue-collar,married,no,39,no,no,no
35,management,single,no,560,yes,no,no
58,technician,divorced,no,469,no,no,no
35,admin.,married,no,530,yes,no,no
49,services,married,no,61,yes,no,no
34,technician,single,no,242,yes,no,no
36,blue-collar,married,no,139,yes,no,no
24,self-employed,single,no,0,yes,no,no
34,technician,married,no,367,yes,no,no
51,admin.,divorced,no,228,yes,no,no
39,technician,single,no,45248,yes,no,yes
50,self-employed,married,no,-84,yes,no,no
32,services,single,no,310,yes,no,no
42,blue-collar,married,no,132,yes,no,no
50,technician,married,no,797,yes,no,no
40,services,married,no,71,no,no,no
46,management,divorced,no,2,yes,no,no
37,management,married,no,231,yes,yes,no
34,blue-collar,married,no,270,yes,yes,no
44,blue-collar,married,no,274,yes,yes,no
40,admin.,single,no,-109,yes,yes,no
37,technician,married,no,1,yes,no,yes
33,blue-collar,single,yes,-60,no,no,no
35,blue-collar,married,no,89,yes,no,no
58,blue-collar,divorced,no,-11,no,no,no
39,blue-collar,married,no,0,yes,no,no
43,blue-collar,married,no,-509,yes,no,no
39,unemployed,married,no,408,yes,no,no
36,services,single,no,58,yes,no,no
57,retired,single,no,1640,no,yes,no
36,admin.,single,no,20,yes,no,no
50,blue-collar,married,no,71,yes,no,no
55,blue-collar,married,no,52,yes,no,no
44,self-employed,married,no,292,yes,no,no
44,services,divorced,no,424,yes,no,no
39,housemaid,single,no,109,yes,no,no
46,blue-collar,married,no,1044,yes,no,no
39,blue-collar,married,no,983,yes,no,no
34,admin.,married,no,869,no,no,yes
40,blue-collar,married,no,668,yes,no,no
50,management,married,no,964,yes,no,no
31,management,single,no,301,yes,no,no
37,admin.,single,no,140,yes,no,no
39,management,single,no,1877,yes,no,no
51,blue-collar,married,no,1127,yes,no,no
41,technician,married,no,871,yes,no,no
41,technician,married,no,767,yes,yes,no
43,blue-collar,married,no,0,no,no,no
30,services,single,no,209,yes,no,no
54,management,divorced,no,0,no,no,no
43,blue-collar,divorced,no,110,yes,yes,no
59,management,divorced,no,-76,yes,yes,no
47,technician,married,no,178,yes,no,no
40,blue-collar,married,no,-66,yes,no,no
32,technician,married,no,0,yes,no,no
29,blue-collar,married,no,1,yes,no,no
36,blue-collar,married,no,0,yes,no,no
55,unemployed,married,no,5345,no,no,no
30,blue-collar,divorced,no,-209,yes,no,no
39,admin.,single,no,0,yes,no,no
39,blue-collar,divorced,no,42,yes,no,no
50,blue-collar,divorced,no,41,yes,no,no
44,blue-collar,married,no,-99,yes,no,no
37,technician,single,no,17,yes,no,no
46,admin.,married,no,276,yes,yes,no
32,technician,single,no,-170,no,no,no
37,management,single,no,230,yes,yes,no
29,blue-collar,married,no,9,yes,no,no
41,blue-collar,married,no,946,yes,no,no
45,blue-collar,married,no,1297,yes,no,no
57,retired,divorced,no,-331,yes,no,no
48,blue-collar,single,no,44,yes,no,no
60,retired,married,yes,15,no,no,no
26,admin.,single,no,712,yes,no,no
58,retired,married,no,5435,yes,no,no
34,admin.,married,no,507,yes,no,no
55,unemployed,divorced,no,387,yes,no,yes
41,blue-collar,married,no,0,yes,yes,no
50,management,divorced,no,1716,yes,no,no
49,entrepreneur,married,no,167,yes,yes,no
44,admin.,married,no,40,no,yes,no
44,blue-collar,married,no,148,yes,no,no
31,technician,married,no,17,yes,yes,no
34,blue-collar,single,no,1011,yes,no,no
46,management,single,no,1527,yes,no,no
42,management,married,no,744,no,no,no
52,admin.,married,no,484,yes,no,no
29,management,single,no,0,yes,no,no
53,retired,married,no,136,yes,no,no
43,blue-collar,married,no,1335,yes,no,no
38,management,married,no,517,yes,no,no
46,management,married,no,459,yes,no,no
48,management,divorced,no,549,yes,no,no
30,admin.,divorced,no,83,yes,yes,no
44,blue-collar,married,no,213,no,no,no
31,housemaid,married,no,203,yes,no,no
42,services,single,no,518,yes,no,no
40,management,single,no,3877,yes,no,no
52,admin.,married,no,1236,yes,no,no
45,blue-collar,divorced,no,756,yes,no,no
48,blue-collar,married,no,157,yes,no,no
45,blue-collar,married,no,-66,yes,no,no
34,blue-collar,married,no,245,yes,no,no
34,blue-collar,married,no,-144,yes,no,no
46,blue-collar,married,no,71,yes,no,no
49,services,divorced,no,505,yes,no,no
50,technician,married,no,249,yes,no,no
34,admin.,single,no,0,yes,no,no
40,unemployed,single,no,11,yes,no,no
36,admin.,married,no,639,yes,no,no
59,blue-collar,divorced,no,124,yes,no,no
45,blue-collar,married,no,82,yes,no,no
36,self-employed,married,no,107,yes,no,no
56,services,married,no,473,yes,no,no
42,services,divorced,no,372,yes,yes,no
30,admin.,married,no,46,yes,no,no
30,student,single,no,34,yes,no,no
47,self-employed,married,no,935,yes,no,no
33,blue-collar,married,no,-10,yes,no,no
36,admin.,married,no,-106,yes,no,no
39,services,divorced,no,471,yes,no,no
56,admin.,divorced,no,778,yes,no,no
39,blue-collar,divorced,no,170,yes,no,no
42,technician,married,no,315,yes,no,no
52,blue-collar,married,no,3165,no,no,no
36,admin.,divorced,no,131,yes,no,no
35,entrepreneur,married,yes,204,yes,no,no
47,technician,married,no,83,yes,no,no
59,services,divorced,no,0,yes,yes,no
57,blue-collar,married,no,5431,yes,yes,no
38,management,married,no,1759,yes,no,no
46,unemployed,married,no,-125,yes,no,no
34,blue-collar,married,no,0,no,no,no
28,services,single,no,5090,yes,no,yes
38,technician,married,no,573,yes,no,no
56,blue-collar,married,no,1602,yes,no,no
41,blue-collar,single,yes,-137,yes,yes,no
52,technician,married,no,0,no,no,no
54,services,married,no,193,no,no,no
61,retired,married,no,195,yes,yes,no
53,entrepreneur,married,no,288,no,no,no
47,technician,married,no,19,yes,no,no
53,blue-collar,married,no,25,yes,no,no
46,services,married,no,216,yes,no,no
39,blue-collar,divorced,no,190,yes,yes,no
56,technician,divorced,no,99,yes,no,no
55,services,divorced,no,2298,yes,no,no
44,management,married,no,17,yes,no,no
37,technician,married,no,0,yes,no,no
35,blue-collar,married,no,0,yes,no,no
55,blue-collar,married,no,840,yes,no,no
37,services,married,no,358,yes,no,no
30,technician,single,no,0,yes,no,no
37,blue-collar,married,no,-325,yes,yes,no
36,technician,single,no,-15,yes,no,no
38,technician,married,no,581,yes,no,no
41,admin.,divorced,no,4070,yes,no,no
48,retired,married,no,74,no,yes,no
55,services,divorced,no,141,yes,no,no
28,services,divorced,no,89,no,no,no
54,services,married,yes,0,yes,no,no
30,blue-collar,married,no,450,no,no,no
48,technician,married,no,310,no,no,no
31,self-employed,married,no,0,yes,no,no
38,blue-collar,married,no,384,yes,no,no
37,blue-collar,married,no,395,yes,no,no
37,services,single,no,-118,yes,no,no
56,blue-collar,married,no,5,yes,yes,no
51,blue-collar,married,no,50,yes,yes,no
39,blue-collar,married,no,285,yes,yes,no
49,technician,married,no,15,no,no,no
51,blue-collar,married,no,653,yes,yes,no
43,self-employed,married,no,918,yes,no,no
32,services,married,no,243,yes,yes,no
29,technician,single,no,405,yes,no,no
48,management,divorced,no,1328,yes,no,no
55,services,married,no,255,yes,no,no
53,blue-collar,married,no,3397,yes,no,no
47,technician,married,no,2106,yes,no,no
39,management,married,no,2877,yes,no,no
31,blue-collar,single,no,60,yes,yes,no
39,blue-collar,married,no,2226,yes,no,no
40,blue-collar,married,no,2880,yes,no,no
40,technician,single,no,-5,yes,no,no
48,technician,married,no,147,no,no,no
33,technician,divorced,no,7,yes,yes,no
40,technician,married,no,109,yes,no,no
59,retired,married,no,-119,yes,no,no
30,technician,married,no,484,yes,no,yes
31,management,single,no,1852,yes,no,no
35,unemployed,married,no,533,yes,no,no
54,technician,divorced,no,21,yes,no,no
34,admin.,single,no,2434,yes,no,no
32,technician,married,no,90,yes,yes,no
56,admin.,divorced,no,4246,yes,no,no
32,admin.,single,no,395,yes,no,no
42,blue-collar,married,no,15,yes,no,no
33,services,married,no,85,no,no,no
52,entrepreneur,married,no,-184,yes,yes,no
52,services,married,no,660,no,no,no
52,blue-collar,divorced,yes,-183,yes,no,no
30,unemployed,divorced,no,1144,yes,no,no
44,services,divorced,no,1,yes,no,no
35,admin.,married,no,69,yes,yes,no
55,management,single,no,220,yes,no,no
33,blue-collar,married,no,332,yes,no,no
37,blue-collar,single,no,240,yes,no,no
42,technician,single,no,0,yes,no,no
43,unemployed,married,no,0,yes,no,no
38,entrepreneur,married,no,898,yes,no,no
37,technician,married,no,123,yes,yes,no
31,student,single,no,252,yes,no,no
41,management,married,no,65,yes,no,no
41,technician,married,no,-366,yes,yes,no
29,student,single,no,209,yes,no,no
38,admin.,single,no,221,yes,no,no
44,self-employed,divorced,no,4,yes,no,no
39,admin.,married,no,104,yes,no,no
28,technician,single,no,312,yes,no,no
33,blue-collar,married,no,-349,yes,no,no
41,services,married,no,4,no,no,no
40,blue-collar,married,no,-322,yes,yes,no
29,admin.,married,no,-150,yes,no,no
38,management,married,no,1349,yes,no,no
32,admin.,married,no,281,yes,no,no
45,services,married,no,1259,yes,no,no
33,admin.,single,no,101,yes,no,no
34,blue-collar,married,no,848,yes,no,no
41,entrepreneur,married,no,89,yes,no,no
41,blue-collar,married,no,140,yes,no,no
35,admin.,single,no,148,yes,no,no
40,technician,single,no,200,yes,no,no
60,self-employed,married,no,46,yes,no,no
47,services,divorced,no,201,yes,no,no
46,blue-collar,married,no,530,yes,no,no
31,blue-collar,single,no,0,yes,no,no
49,self-employed,married,no,1,yes,no,no
29,blue-collar,married,no,43,yes,no,no
31,management,single,no,-173,yes,no,no
38,management,married,no,389,yes,no,no
37,blue-collar,married,no,215,yes,yes,no
35,technician,married,no,-131,yes,no,no
31,management,single,no,783,yes,no,no
41,admin.,married,no,0,yes,no,no
46,services,married,no,80,yes,no,no
40,services,divorced,no,105,yes,no,no
29,admin.,married,no,182,yes,yes,no
49,admin.,married,no,82,yes,no,no
42,management,married,no,0,yes,no,no
54,services,married,no,510,yes,no,no
40,management,single,no,242,yes,no,no
53,admin.,married,no,244,yes,yes,no
49,management,married,no,92,yes,no,no
40,blue-collar,married,yes,0,yes,no,no
29,student,single,no,948,yes,no,no
36,blue-collar,married,no,23,yes,no,no
37,technician,married,no,710,yes,no,no
39,services,married,no,1205,yes,no,no
36,technician,married,no,368,yes,yes,yes
44,entrepreneur,married,no,1631,yes,no,no
40,admin.,married,no,6,yes,no,no
49,blue-collar,married,no,26,yes,no,no
30,technician,single,no,-48,yes,no,no
57,management,married,no,2142,yes,no,no
24,services,single,no,77,yes,yes,no
46,blue-collar,married,no,401,yes,no,no
33,admin.,married,no,21,no,no,no
43,services,divorced,no,0,yes,no,no
43,admin.,single,no,-497,yes,no,no
40,blue-collar,divorced,no,369,no,no,no
44,technician,single,no,78,yes,no,no
35,technician,single,no,226,yes,yes,no
47,technician,married,no,503,yes,no,no
33,blue-collar,married,no,372,yes,no,no
31,admin.,married,no,0,yes,yes,no
40,blue-collar,divorced,no,0,yes,no,no
36,entrepreneur,married,no,125,yes,no,no
